Title,Movie Rating,Year,Gross Income,Movie Genre,Movie Runtime,IMDb Rating,Votes
500 Days of Summer,PG-13,2009,32.39,"['Comedy', ' Drama', ' Romance']",95,7.7,461982.0
12 Years a Slave,R,2013,56.67,"['Biography', ' Drama', ' History']",134,8.1,620081.0
127 Hours,R,2010,18.34,"['Biography', ' Drama']",94,7.6,340547.0
1917,R,2019,159.23,"['Drama', ' War']",119,8.3,341756.0
2001: A Space Odyssey,G,1968,56.95,"['Adventure', ' Sci-Fi']",149,8.3,583101.0
21 Grams,R,2003,16.29,"['Crime', ' Drama', ' Thriller']",124,7.7,220464.0
25th Hour,R,2002,13.06,['Drama'],135,7.6,167274.0
28 Days Later...,R,2002,45.06,"['Drama', ' Horror', ' Sci-Fi']",113,7.6,367566.0
3 Idiots,PG-13,2009,6.53,"['Comedy', ' Drama']",170,8.4,328301.0
300,R,2006,210.61,"['Action', ' Drama']",117,7.6,719658.0
3:10 to Yuma,R,2007,53.61,"['Action', ' Crime', ' Drama']",122,7.7,282096.0
50/50,R,2011,35.01,"['Comedy', ' Drama', ' Romance']",100,7.6,310785.0
A Beautiful Mind,PG-13,2001,170.74,"['Biography', ' Drama']",135,8.2,822124.0
A Bronx Tale,R,1993,17.27,"['Crime', ' Drama', ' Romance']",121,7.8,124122.0
A Christmas Story,PG,1983,20.61,"['Comedy', ' Family']",94,7.9,127431.0
A Clockwork Orange,R,1971,6.21,"['Crime', ' Drama', ' Sci-Fi']",136,8.3,735505.0
A Few Good Men,R,1992,141.34,"['Drama', ' Thriller']",138,7.7,227625.0
A Hard Day's Night,G,1964,13.78,"['Comedy', ' Music', ' Musical']",87,7.6,39102.0
A Little Princess,G,1995,10.02,"['Drama', ' Family', ' Fantasy']",97,7.7,31246.0
A Man for All Seasons,G,1966,28.35,"['Biography', ' Drama', ' History']",120,7.7,30257.0
A Star Is Born,R,2018,215.29,"['Drama', ' Music', ' Romance']",136,7.7,313532.0
A Streetcar Named Desire,PG,1951,8.0,['Drama'],122,8.0,96594.0
