Title,Movie Rating,Year,Gross Income,Movie Genre,Movie Runtime,IMDb Rating,Votes,production_budget
12 Years a Slave,R,2013,56.67,"['Biography', ' Drama', ' History']",134,8.1,620081.0,20.0
127 Hours,R,2010,18.34,"['Biography', ' Drama']",94,7.6,340547.0,18.0
2001: A Space Odyssey,G,1968,56.95,"['Adventure', ' Sci-Fi']",149,8.3,583101.0,10.5
21 Grams,R,2003,16.29,"['Crime', ' Drama', ' Thriller']",124,7.7,220464.0,20.0
25th Hour,R,2002,13.06,['Drama'],135,7.6,167274.0,4.5
300,R,2006,210.61,"['Action', ' Drama']",117,7.6,719658.0,60.0
3:10 to Yuma,R,2007,53.61,"['Action', ' Crime', ' Drama']",122,7.7,282096.0,48.0
50/50,R,2011,35.01,"['Comedy', ' Drama', ' Romance']",100,7.6,310785.0,8.0
A Beautiful Mind,PG-13,2001,170.74,"['Biography', ' Drama']",135,8.2,822124.0,78.0
A Christmas Story,PG,1983,20.61,"['Comedy', ' Family']",94,7.9,127431.0,3.25
A Few Good Men,R,1992,141.34,"['Drama', ' Thriller']",138,7.7,227625.0,33.0
A Hard Day's Night,G,1964,13.78,"['Comedy', ' Music', ' Musical']",87,7.6,39102.0,0.56
A Man for All Seasons,G,1966,28.35,"['Biography', ' Drama', ' History']",120,7.7,30257.0,3.9
A Streetcar Named Desire,PG,1951,8.0,['Drama'],122,8.0,96594.0,1.8
About Time,R,2013,15.32,"['Comedy', ' Drama', ' Fantasy']",123,7.8,287470.0,12.0
After Hours,R,1985,10.6,"['Comedy', ' Crime', ' Drama']",97,7.7,55943.0,4.5
Airplane!,PG,1980,83.4,['Comedy'],88,7.7,205640.0,3.5
Akira,R,1988,0.55,"['Animation', ' Drama', ' Sci-Fi']",124,8.0,157797.0,8.0
Aladdin,G,1992,217.35,"['Animation', ' Adventure', ' Comedy']",90,8.0,361303.0,182.0
Aladdin,G,1992,217.35,"['Animation', ' Adventure', ' Comedy']",90,8.0,361303.0,28.0
