Title,Movie Rating,Year,Gross Income in millions (USD),Movie Genre,Movie Runtime,IMDb Rating,Votes,Budget in millions (USD),Profit percent
10 Cloverfield Lane,PG-13,2016,72.08,"Drama,Horror,Mystery",103,7.2,281319.0,5.0,1341.6000000000001
10 Days in a Madhouse,R,2015,0.01,Drama,111,6.3,956.0,12.0,-99.91666666666667
10 Things I Hate About You,PG-13,1999,38.18,"Comedy,Drama,Romance",97,7.3,287984.0,13.0,193.6923076923077
102 Dalmatians,G,2000,66.96,"Adventure,Comedy,Family",100,4.9,33907.0,85.0,-21.223529411764712
10th & Wolf,R,2006,0.05,"Crime,Drama,Thriller",107,6.3,6043.0,8.0,-99.375
11:14,R,2003,22.810000000000002,"Crime,Drama,Mystery",86,7.2,48903.0,6.0,-100.0
12 Angry Men,PG-13,1997,22.810000000000002,"Crime,Drama",117,7.9,48903.0,0.34,-100.0
12 Rounds,PG-13,2009,12.23,"Action,Crime,Thriller",108,5.6,26877.0,20.0,-38.849999999999994
12 Strong,R,2018,45.5,"Action,Drama,History",130,6.6,63650.0,35.0,30.0
12 Years a Slave,R,2013,56.67,"Biography,Drama,History",134,8.1,620542.0,20.0,183.35000000000002
127 Hours,R,2010,18.34,"Biography,Drama",94,7.6,340741.0,18.0,1.8888888888888882
13 Sins,R,2014,0.01,"Horror,Thriller",93,6.3,32131.0,4.0,-99.75
1408,PG-13,2007,71.99,"Fantasy,Horror,Mystery",104,6.8,251086.0,22.5,219.95555555555555
15 Minutes,R,2001,24.4,"Action,Crime,Drama",120,6.1,47775.0,42.0,-41.904761904761905
16 Blocks,PG-13,2006,36.88,"Action,Drama,Thriller",102,6.6,124885.0,45.0,-18.044444444444437
17 Again,PG-13,2009,64.17,"Comedy,Drama,Fantasy",102,6.3,175272.0,40.0,60.425000000000004
1982,R,2013,22.810000000000002,Drama,90,7.0,48903.0,1.0,-100.0
2 Fast 2 Furious,PG-13,2003,127.15,"Action,Crime,Thriller",107,5.9,245445.0,76.0,67.30263157894738
2 Guns,R,2013,75.61,"Action,Comedy,Thriller",109,6.7,191335.0,61.0,23.950819672131146
20 Dates,R,1998,0.54,"Biography,Comedy,Romance",87,5.4,1656.0,0.066,718.1818181818181
200 Cigarettes,R,1999,6.85,"Comedy,Drama,Romance",101,6.0,14449.0,6.0,14.16666666666666
2012,PG-13,2009,166.11,"Action,Adventure,Sci-Fi",158,5.8,345772.0,200.0,-16.944999999999993
21,PG-13,2008,81.16,"Crime,Drama,History",123,6.8,224806.0,35.0,131.88571428571427
21 Grams,R,2003,16.29,"Crime,Drama,Thriller",124,7.7,220565.0,20.0,-18.550000000000004
21 Jump Street,R,2012,138.45,"Action,Comedy,Crime",109,7.2,500043.0,42.0,229.64285714285714
22 Jump Street,R,2014,191.72,"Action,Comedy,Crime",112,7.0,337543.0,50.0,283.44
23 Blast,PG-13,2014,0.49,"Drama,Family,Sport",98,6.5,1683.0,1.0,-51.0
25th Hour,R,2002,13.06,Drama,135,7.6,167354.0,4.5,190.22222222222223
27 Dresses,PG-13,2008,76.81,"Comedy,Romance",111,6.1,150976.0,30.0,156.03333333333333
28 Days,PG-13,2000,37.17,"Comedy,Drama",103,6.0,43360.0,43.0,-13.558139534883718
3 Backyards,R,2010,22.810000000000002,Drama,88,5.0,48903.0,0.3,-100.0
3 Days to Kill,PG-13,2014,30.7,"Action,Drama,Thriller",117,6.2,85433.0,28.0,9.64285714285714
3 Ninjas Kick Back,PG,1994,11.78,"Action,Comedy,Family",93,4.6,8285.0,20.0,-41.1
3 Strikes,R,2000,9.82,Comedy,82,4.8,3079.0,4.0,145.5
30 Days of Night,R,2007,39.57,"Action,Horror,Thriller",113,6.6,161220.0,30.0,31.900000000000002
30 Minutes or Less,R,2011,37.05,"Action,Comedy,Crime",83,6.1,92037.0,28.0,32.32142857142856
300,R,2006,210.61,"Action,Drama",117,7.6,719925.0,60.0,251.0166666666667
3000 Miles to Graceland,R,2001,15.74,"Action,Comedy,Crime",125,6.0,43095.0,62.0,-74.61290322580645
300: Rise of an Empire,R,2014,106.58,"Action,Drama",102,6.2,275503.0,110.0,-3.1090909090909107
31,R,2016,0.78,"Horror,Thriller",102,5.1,17565.0,1.5,-48.0
3:10 to Yuma,R,2007,53.61,"Action,Crime,Drama",122,7.7,282239.0,48.0,11.6875
40 Days and 40 Nights,R,2002,37.95,"Comedy,Romance",96,5.6,69436.0,17.0,123.23529411764707
42,PG-13,2013,95.0,"Biography,Drama,Sport",128,7.5,81763.0,31.0,206.4516129032258
47 Ronin,PG-13,2013,38.36,"Action,Drama,Fantasy",128,6.3,142894.0,175.0,-78.08
Fantastic Four: Rise of the Silver Surfer,PG,2007,131.92,"Action,Adventure,Fantasy",92,5.6,246915.0,120.0,9.933333333333323
5 Days of War,R,2011,0.02,"Action,Drama,War",113,5.6,13382.0,12.0,-99.83333333333334
50 First Dates,PG-13,2004,120.91,"Comedy,Drama,Romance",99,6.8,319067.0,75.0,61.21333333333333
50 to 1,PG-13,2014,1.06,Drama,110,6.4,1857.0,10.0,-89.39999999999999
50/50,R,2011,35.01,"Comedy,Drama,Romance",100,7.6,310888.0,8.0,337.625
54,R,1998,16.57,"Drama,Music",93,5.9,31091.0,13.0,27.461538461538463
8 Days,PG-13,2014,22.810000000000002,"Drama,Thriller",90,4.6,48903.0,2.5,-100.0
8 Heads in a Duffel Bag,R,1997,3.56,"Adventure,Comedy,Crime",95,5.4,9475.0,3.0,18.666666666666668
8 Mile,R,2002,116.72,"Drama,Music",110,7.1,243566.0,41.0,184.68292682926827
88 Minutes,R,2007,16.93,"Crime,Drama,Mystery",108,5.9,73378.0,30.0,-43.56666666666667
8: The Mormon Proposition,R,2010,0.1,Documentary,80,7.0,1197.0,2.5,-96.0
8MM,R,1999,36.66,"Crime,Drama,Mystery",123,6.5,121066.0,40.0,-8.350000000000009
9,PG-13,2009,31.74,"Animation,Action,Adventure",79,7.1,130551.0,30.0,5.7999999999999945
90 Minutes in Heaven,PG-13,2015,4.7,Drama,121,4.8,3316.0,5.0,-5.9999999999999964
A Bad Moms Christmas,R,2017,72.11,Comedy,104,5.6,39717.0,28.0,157.53571428571428
